title,link,published
Trump says he will announce Fed chair replacement on Friday morning,https://www.investing.com/news/economy-news/trump-says-he-will-announce-fed-chair-replacement-on-friday-morning-4475039,2026-01-30 01:38:19
Canada records big jump in trade deficit in November as US exports fall,https://www.investing.com/news/economy-news/canada-records-big-jump-in-trade-deficit-in-november-as-us-exports-fall-4475057,2026-01-30 02:00:34
Former Fed Governor Warsh met with Trump on Thursday,https://www.investing.com/news/economy-news/former-fed-governor-warsh-met-with-trump-on-thursday-4475061,2026-01-30 02:36:32
Instant View: Trump to announce his Fed chief pick on Friday,https://www.investing.com/news/economy-news/instant-view-trump-to-announce-his-fed-chief-pick-on-friday-4475082,2026-01-30 03:18:35
"US lawmakers reach deal for govt spending, ICE debate continues- reports",https://www.investing.com/news/economy-news/us-lawmakers-reach-deal-for-govt-spending-ice-debate-continues-reports-4475086,2026-01-30 03:42:18
All about the euro: Five questions for the ECB,https://www.investing.com/news/economy-news/all-about-the-euro-five-questions-for-the-ecb-4475099,2026-01-30 05:07:37
Bitcoin slips as Fed chair speculation hits risky assets,https://www.investing.com/news/economy-news/bitcoin-slips-as-fed-chair-speculation-hits-risky-assets-4475101,2026-01-30 05:12:47
Trump to announce Fed chair pick Friday after meeting Warsh,https://www.investing.com/news/economy-news/trump-plans-to-announce-his-fed-chairman-choice-next-week-4474139,2026-01-30 05:18:49
"Trump’s Fed nomination to ease market uncertainty, all eyes on Warsh",https://www.investing.com/news/economy-news/trumps-fed-nomination-to-ease-market-uncertainty-all-eyes-on-warsh-4475098,2026-01-30 05:30:36
Morning Bid: Be careful what you Warsh for,https://www.investing.com/news/economy-news/morning-bid-be-careful-what-you-warsh-for-4475111,2026-01-30 05:54:26
